"year";"kh_hour_m";"kh_hour_sd"
"1976";5.0445;1.20347455311693
"1977";7.74042857142857;2.39805774583953
"1978";2.76675;1.29028864434059
"1979";1.551;1.3233133704836
"1980";1.621;0.746665029760111
"1981";2.1694;1.19165548712705
"1982";1.86756259909091;0.932273894022787
"1983";1.449311956625;0.620534949156571
"1984";3.86666170676923;1.65289376447643
"1985";3.34846507591667;1.87397626651237
